"catalogue","cat_row","construction","ingredient_call","ing_N","ing_k","ing_vmin","ing_vmax","confidence","stamp_date"
"DPcat",14,"productCA","productCA(SCA_Bose(3)[, 1:3], productCA(SCA_Bose(3)[, 1:3], productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5,     3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3), c1 = 3), c1 = 3), 3)",37,432,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",14,"productCA","SCA_Bose(3)",9,4,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",14,"productCA","productCA(SCA_Bose(3)[, 1:3], productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5, 3)[, 1:4],     SCA_LCDST(5, 3)[, 1:4], c1 = 3), c1 = 3), 3)",31,144,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",14,"productCA","SCA_Bose(3)",9,4,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",14,"productCA","productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3), 3)",25,48,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",14,"productCA","SCA_Bose(3)",9,4,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",14,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], 3)",19,16,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",14,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",14,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",15,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",15,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_Bose(3)[, 1:3], productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5,     3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3), c1 = 3), c1 = 3), 3)",39,576,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",15,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",15,"productCA","productCA(SCA_Bose(3)[, 1:3], productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5, 3)[, 1:4],     SCA_LCDST(5, 3)[, 1:4], c1 = 3), c1 = 3), 3)",31,144,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",15,"productCA","SCA_Bose(3)",9,4,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",15,"productCA","productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3), 3)",25,48,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",15,"productCA","SCA_Bose(3)",9,4,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",15,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], 3)",19,16,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",15,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",15,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",16,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",16,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_Bose(3)[, 1:3],     productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4],         c1 = 3), c1 = 3), c1 = 3), 3)",41,768,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",16,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
